time,state_0,state_1
5.200000000000071e+00,1.112241413589018e+00,-5.295187601090566e-01
5.300000000000105e+00,1.054383154912309e+00,-6.263590483459163e-01
5.400000000000138e+00,9.872401701491044e-01,-7.150855663782087e-01
5.500000000000171e+00,9.116605155037042e-01,-7.949812580294849e-01
5.600000000000205e+00,8.285589135871924e-01,-8.654306239915426e-01
5.700000000000238e+00,7.389063845179122e-01,-9.259237996386571e-01
5.800000000000272e+00,6.437195254215692e-01,-9.760595071135005e-01
5.900000000000305e+00,5.440495513447547e-01,-1.015546874772401e+00
6.000000000000338e+00,4.409712107180611e-01,-1.044206128419021e+00
6.100000000000372e+00,3.355716875057154e-01,-1.061968169828574e+00
6.200000000000405e+00,2.289396000899118e-01,-1.068873068765111e+00
6.300000000000439e+00,1.221542038019664e-01,-1.065067504923749e+00
6.400000000000472e+00,1.627489988087304e-02,-1.050801205896095e+00
6.500000000000505e+00,-8.766885142667107e-02,-1.026422436276059e+00
6.600000000000539e+00,-1.886871218434973e-01,-9.923726013183770e-01
6.700000000000572e+00,-2.858385250584519e-01,-9.491800360657343e-01
6.800000000000606e+00,-3.782385681156990e-01,-8.974530575138129e-01
6.900000000000639e+00,-4.650672746227163e-01,-8.378723631379784e-01
7.000000000000672e+00,-5.455760187840050e-01,-7.711828639214288e-01
7.100000000000706e+00,-6.190935182821047e-01,-6.981850438735200e-01
7.200000000000739e+00,-6.850309433777857e-01,-6.197259408896184e-01
7.300000000000773e+00,-7.428861091881080e-01,-5.366898456715066e-01
7.400000000000806e+00,-7.922467278248843e-01,-4.499888163012599e-01
7.500000000000839e+00,-8.327927068380550e-01,-3.605531059526835e-01
7.600000000000873e+00,-8.642974901112438e-01,-2.693216001533465e-01
7.700000000000906e+00,-8.866284469055160e-01,-1.772323580066877e-01
7.800000000000940e+00,-8.997463240506869e-01,-8.521334888580318e-02
7.900000000000973e+00,-9.037037852542497e-01,5.826527635208661e-03
8.000000000001005e+00,-8.986430700539685e-01,9.500605538625168e-02
8.100000000000950e+00,-8.847928130049809e-01,1.814798707896918e-01
8.200000000000895e+00,-8.624640711957916e-01,2.644461156193029e-01
8.300000000000839e+00,-8.320456150667689e-01,3.431535078514150e-01
8.400000000000784e+00,-7.939985437039081e-01,4.169077721830153e-01
8.500000000000728e+00,-7.488502912518991e-01,4.850773792828853e-01
8.600000000000673e+00,-6.971880957941969e-01,5.470985506887206e-01
8.700000000000617e+00,-6.396520059525174e-01,6.024794943809006e-01
8.800000000000562e+00,-5.769275035411466e-01,6.508038443664594e-01
8.900000000000507e+00,-5.097378228584573e-01,6.917332860091382e-01
9.000000000000451e+00,-4.388360486033888e-01,7.250093572579573e-01
9.100000000000396e+00,-3.649970749710859e-01,7.504544242741111e-01
9.200000000000340e+00,-2.890095082205184e-01,7.679718381528918e-01
9.300000000000285e+00,-2.116675939365666e-01,7.775452874056823e-01
9.400000000000230e+00,-1.337632483564765e-01,7.792373685325624e-01
